DATE,year,event_type,Country,lat,long,fatalities,Case
8/14/2020,2020,Riots,Kenya,0.2833,34.75,3,1
8/12/2020,2020,Protests,Kenya,-1.3667,38.0167,0,1
8/11/2020,2020,Riots,Kenya,-0.1,34.75,1,1
8/10/2020,2020,Protests,Kenya,-1.283,36.817,0,1
8/10/2020,2020,Riots,Kenya,-3.4995,38.3762,1,1
8/9/2020,2020,Violence against civilians,Kenya,-2.1749,40.8199,1,1
8/8/2020,2020,Riots,Kenya,-1.5036,40.0333,0,1
8/8/2020,2020,Protests,Kenya,-1.0783,35.8601,0,1
8/7/2020,2020,Riots,Kenya,-1.0077,34.8806,0,1
8/4/2020,2020,Protests,Kenya,-0.3677,35.2831,0,1
8/3/2020,2020,Riots,Kenya,-0.1,34.75,0,1
8/3/2020,2020,Riots,Kenya,-0.1,34.75,0,1
8/3/2020,2020,Protests,Kenya,-0.3072,36.0723,0,1
8/1/2020,2020,Violence against civilians,Kenya,-1.5167,37.2667,1,1
7/31/2020,2020,Strategic developments,Kenya,1.1778,36.8842,0,1
7/30/2020,2020,Violence against civilians,Kenya,-0.3333,35.8667,1,1
7/28/2020,2020,Violence against civilians,Kenya,-1.283,36.817,0,1
7/27/2020,2020,Violence against civilians,Kenya,-0.6581,35.7328,0,1
7/25/2020,2020,Protests,Kenya,-0.4536,39.6461,2,1
7/24/2020,2020,Protests,Kenya,0.5167,35.2833,0,1
7/22/2020,2020,Strategic developments,Kenya,-0.1364,40.2944,0,1
7/21/2020,2020,Protests,Kenya,-0.1,34.75,0,1
7/19/2020,2020,Violence against civilians,Kenya,1.4771,36.7236,1,1
7/18/2020,2020,Protests,Kenya,1.0167,35,0,1
7/18/2020,2020,Riots,Kenya,-0.1,34.75,0,1
7/14/2020,2020,Protests,Kenya,-0.5273,34.4571,0,1
7/13/2020,2020,Riots,Kenya,-0.6833,37.3667,0,1
7/13/2020,2020,Strategic developments,Kenya,3.9357,41.8542,1,1
7/13/2020,2020,Protests,Kenya,0.4167,36.75,0,1
7/10/2020,2020,Violence against civilians,Kenya,0.4919,35.743,1,1
7/9/2020,2020,Violence against civilians,Kenya,-1.8167,35.5,2,1
7/8/2020,2020,Riots,Kenya,-0.1667,35.6,0,1
7/8/2020,2020,Riots,Kenya,-2.2717,40.902,1,1
7/7/2020,2020,Protests,Kenya,-1.05,36.9,0,1
7/7/2020,2020,Protests,Kenya,-1.283,36.817,0,1
7/6/2020,2020,Riots,Kenya,-0.6833,37.3667,4,1
7/5/2020,2020,Violence against civilians,Kenya,-0.6833,34.7667,1,1
7/5/2020,2020,Violence against civilians,Kenya,0.7833,36.0333,0,1
7/4/2020,2020,Riots,Kenya,-0.5273,34.4571,1,1
6/30/2020,2020,Riots,Kenya,0.4459,34.2519,0,1
6/26/2020,2020,Protests,Kenya,1.0167,35,0,1
6/25/2020,2020,Violence against civilians,Kenya,0.1066,35.1838,1,1
6/24/2020,2020,Protests,Kenya,1.0667,34.85,0,1
6/24/2020,2020,Strategic developments,Kenya,-1.5952,40.5144,0,1
6/21/2020,2020,Violence against civilians,Kenya,-2.2783,40.9033,0,1
6/15/2020,2020,Protests,Kenya,-1.2614,36.8608,0,1
6/15/2020,2020,Protests,Kenya,2.333,37.983,0,1
6/15/2020,2020,Protests,Kenya,-1.1519,36.6371,0,1
6/15/2020,2020,Violence against civilians,Kenya,-0.5833,35.1833,0,1
6/14/2020,2020,Violence against civilians,Kenya,3.9357,41.8542,0,1
6/14/2020,2020,Protests,Kenya,-0.3072,36.0723,0,1
6/13/2020,2020,Riots,Kenya,-0.1,34.75,0,1
6/13/2020,2020,Riots,Kenya,-0.1576,37.9724,1,1
6/13/2020,2020,Riots,Kenya,-1.7808,37.6288,1,1
6/11/2020,2020,Protests,Kenya,-0.5753,37.3269,0,1
6/8/2020,2020,Violence against civilians,Kenya,2.2,37.9667,4,1
6/8/2020,2020,Protests,Kenya,-1.2614,36.8608,0,1
6/7/2020,2020,Violence against civilians,Kenya,-1.0783,35.8601,0,1
6/7/2020,2020,Riots,Kenya,-0.1576,37.9724,1,1
6/7/2020,2020,Violence against civilians,Kenya,1.2577,35.0927,0,1
6/3/2020,2020,Protests,Kenya,-1.283,36.817,0,1
6/3/2020,2020,Protests,Kenya,-0.7833,35.35,0,1
6/2/2020,2020,Protests,Kenya,-1.283,36.817,0,1
6/2/2020,2020,Protests,Kenya,-1.2614,36.8608,0,1
6/1/2020,2020,Violence against civilians,Kenya,-1.2614,36.8608,1,1
5/31/2020,2020,Strategic developments,Kenya,1.2972,35.9336,0,1
5/31/2020,2020,Violence against civilians,Kenya,-0.4307,37.4803,0,1
5/31/2020,2020,Violence against civilians,Kenya,-2.0807,37.4726,1,1
5/30/2020,2020,Violence against civilians,Kenya,-4.1738,39.4521,3,1
5/29/2020,2020,Violence against civilians,Kenya,0.2039,35.105,2,1
5/27/2020,2020,Violence against civilians,Kenya,-1.283,36.817,0,1
5/26/2020,2020,Protests,Kenya,0.1904,34.1891,0,1
5/21/2020,2020,Protests,Kenya,0.5635,34.5606,0,1
5/21/2020,2020,Protests,Kenya,-0.7667,34.6,0,1
5/20/2020,2020,Violence against civilians,Kenya,-0.1,34.75,1,1
5/20/2020,2020,Riots,Kenya,-0.5833,35.1833,0,1
5/19/2020,2020,Protests,Kenya,-1.0167,36.6333,0,1
5/18/2020,2020,Explosions/Remote violence,Kenya,2.202,40.754,0,1
5/17/2020,2020,Violence against civilians,Kenya,0.1817,37.0092,0,1
5/13/2020,2020,Protests,Kenya,-0.6833,37.3667,0,1
5/12/2020,2020,Riots,Kenya,-1.283,36.817,1,1
5/12/2020,2020,Riots,Kenya,-1.2717,36.8497,0,1
5/12/2020,2020,Riots,Kenya,0.06,34.2861,1,1
5/11/2020,2020,Protests,Kenya,-1.2717,36.8497,0,1
5/10/2020,2020,Violence against civilians,Kenya,-0.7833,35.35,0,1
5/8/2020,2020,Riots,Kenya,-0.6833,34.7667,4,1
5/7/2020,2020,Protests,Kenya,-1.2717,36.8497,0,1
5/6/2020,2020,Riots,Kenya,-0.7333,34.3667,1,1
5/6/2020,2020,Violence against civilians,Kenya,-0.7833,35.35,0,1
5/4/2020,2020,Violence against civilians,Kenya,-1.2614,36.8608,1,1
5/4/2020,2020,Protests,Kenya,-1.2614,36.8608,0,1
5/3/2020,2020,Violence against civilians,Kenya,-0.3072,36.0723,0,1
5/1/2020,2020,Protests,Kenya,3.717,34.867,0,1
4/27/2020,2020,Protests,Kenya,-0.7166,37.15,0,1
4/27/2020,2020,Riots,Kenya,0.2833,34.75,1,1
4/27/2020,2020,Riots,Kenya,0.99,35.55,1,1
4/26/2020,2020,Riots,Kenya,-0.5333,37.45,1,1
4/25/2020,2020,Riots,Kenya,0.2833,34.75,0,1
4/24/2020,2020,Riots,Kenya,0.0802,34.7237,3,1
4/24/2020,2020,Explosions/Remote violence,Kenya,2.8094,40.9358,2,1
4/24/2020,2020,Protests,Kenya,-0.1198,35.4005,0,1
4/15/2020,2020,Protests,Kenya,0.1667,37.75,0,1
4/13/2020,2020,Violence against civilians,Kenya,-0.5666,34.9167,0,1
4/12/2020,2020,Riots,Kenya,-0.3,35.8167,0,1
4/10/2020,2020,Violence against civilians,Kenya,-1.2535,37.0077,1,1
4/7/2020,2020,Violence against civilians,Kenya,0.3351,34.4864,1,1
4/4/2020,2020,Violence against civilians,Kenya,-1.2828,36.7517,1,1
4/4/2020,2020,Protests,Kenya,-0.1,34.75,0,1
4/3/2020,2020,Violence against civilians,Kenya,0.3351,34.4864,0,1
4/3/2020,2020,Violence against civilians,Kenya,0.46,34.112,0,1
4/2/2020,2020,Violence against civilians,Kenya,1.1833,35.7333,0,1
4/2/2020,2020,Violence against civilians,Kenya,-4.05,39.6667,0,1
4/2/2020,2020,Violence against civilians,Kenya,0.3351,34.4864,0,1
4/2/2020,2020,Riots,Kenya,-0.1,34.75,2,1
4/2/2020,2020,Violence against civilians,Kenya,-1.146,37.5475,0,1
4/1/2020,2020,Violence against civilians,Kenya,-0.5083,35.9752,0,1
4/1/2020,2020,Violence against civilians,Kenya,-0.3072,36.0723,0,1
4/1/2020,2020,Violence against civilians,Kenya,-4.036,39.628,0,1
4/1/2020,2020,Violence against civilians,Kenya,-4.2875,39.5661,1,1
4/1/2020,2020,Violence against civilians,Kenya,0.2833,34.75,1,1
3/30/2020,2020,Violence against civilians,Kenya,-0.3072,36.0723,1,1
3/30/2020,2020,Protests,Kenya,-0.3072,36.0723,0,1
3/30/2020,2020,Violence against civilians,Kenya,0.3351,34.4864,0,1
3/30/2020,2020,Violence against civilians,Kenya,-1.283,36.817,1,1
3/29/2020,2020,Violence against civilians,Kenya,-1.25,36.9,1,1
3/29/2020,2020,Violence against civilians,Kenya,0.46,34.112,0,1
3/29/2020,2020,Violence against civilians,Kenya,-0.5273,34.4571,1,1
3/28/2020,2020,Violence against civilians,Kenya,-0.1161,34.7837,0,1
3/28/2020,2020,Violence against civilians,Kenya,-1.283,36.817,0,1
3/28/2020,2020,Violence against civilians,Kenya,-0.0667,37.7,0,1
3/27/2020,2020,Violence against civilians,Kenya,-0.3072,36.0723,0,1
3/27/2020,2020,Violence against civilians,Kenya,-0.4333,34.6833,1,1
3/27/2020,2020,Violence against civilians,Kenya,-0.1,34.75,0,1
3/27/2020,2020,Violence against civilians,Kenya,-0.0789,34.7759,0,1
3/27/2020,2020,Violence against civilians,Kenya,1.0167,35,0,1
3/27/2020,2020,Violence against civilians,Kenya,-4.0839,39.6616,1,1
3/27/2020,2020,Strategic developments,Kenya,-1.283,36.817,0,1
3/27/2020,2020,Violence against civilians,Kenya,0.0333,34.7167,1,1
3/26/2020,2020,Violence against civilians,Kenya,0.05,37.65,0,1
3/25/2020,2020,Riots,Kenya,-0.1,34.75,1,1
3/21/2020,2020,Protests,Kenya,-0.1,34.75,0,1
3/17/2020,2020,Violence against civilians,Kenya,0.5635,34.5606,0,1
3/17/2020,2020,Riots,Kenya,-4.2875,39.5661,1,1
3/15/2020,2020,Violence against civilians,Kenya,-1.15,41.0667,3,1
3/15/2020,2020,Explosions/Remote violence,Kenya,-1.15,41.0667,2,1
3/13/2020,2020,Explosions/Remote violence,Kenya,-0.4536,39.6461,2,1
3/13/2020,2020,Violence against civilians,Kenya,3.5094,39.0528,5,1
3/12/2020,2020,Protests,Kenya,-0.5333,37.45,0,1
3/11/2020,2020,Explosions/Remote violence,Kenya,3.9208,41.2192,0,1
3/11/2020,2020,Violence against civilians,Kenya,3.9357,41.8542,2,1
3/10/2020,2020,Protests,Kenya,0.2833,34.75,0,1
3/7/2020,2020,Riots,Kenya,-1.0667,34.4667,1,1
3/6/2020,2020,Protests,Kenya,0.5635,34.5606,0,1
3/5/2020,2020,Protests,Kenya,-2.2343,40.8466,0,1
3/5/2020,2020,Protests,Kenya,0.5167,35.2833,0,1
3/2/2020,2020,Protests,Kenya,-4.279,39.594,0,1
2/27/2020,2020,Protests,Kenya,-0.9667,35.1833,0,1
2/26/2020,2020,Riots,Kenya,-4.0207,39.6819,3,1
2/25/2020,2020,Riots,Kenya,-4.0207,39.6819,1,1
2/25/2020,2020,Riots,Kenya,-0.1833,34.9166,1,1
2/25/2020,2020,Protests,Kenya,-0.5273,34.4571,0,1
2/24/2020,2020,Strategic developments,Kenya,-0.9838,36.5899,0,1
2/23/2020,2020,Violence against civilians,Kenya,-1.5952,40.5144,0,1
2/20/2020,2020,Explosions/Remote violence,Kenya,3.9357,41.8542,4,1
2/20/2020,2020,Protests,Kenya,0.0821,34.7214,0,1
2/20/2020,2020,Violence against civilians,Kenya,-1.3059,40.7345,0,1
2/19/2020,2020,Protests,Kenya,0.5635,34.5606,0,1
2/19/2020,2020,Violence against civilians,Kenya,0.8378,35.8099,0,1
2/19/2020,2020,Strategic developments,Kenya,-3.4,38.3833,0,1
2/19/2020,2020,Violence against civilians,Kenya,2.5393,39.9527,3,1
2/17/2020,2020,Riots,Kenya,-1.146,37.5475,1,1
2/17/2020,2020,Riots,Kenya,-0.538,34.1646,0,1
2/16/2020,2020,Protests,Kenya,-1.283,36.817,0,1
2/15/2020,2020,Riots,Kenya,-1.146,37.5475,1,1
2/12/2020,2020,Violence against civilians,Kenya,-1.3059,40.7345,0,1
2/11/2020,2020,Riots,Kenya,-0.8667,37.15,1,1
2/7/2020,2020,Violence against civilians,Kenya,-1.5952,40.5144,1,1
2/7/2020,2020,Riots,Kenya,-3.543,39.6927,0,1
1/31/2020,2020,Riots,Kenya,-0.5273,34.4571,0,1
1/30/2020,2020,Protests,Kenya,-1.1667,36.8333,0,1
1/29/2020,2020,Riots,Kenya,-0.5273,34.4571,1,1
1/28/2020,2020,Protests,Kenya,-1.283,36.817,0,1
1/26/2020,2020,Protests,Kenya,-0.4536,39.6461,0,1
1/24/2020,2020,Riots,Kenya,-4.05,39.6667,0,1
1/24/2020,2020,Violence against civilians,Kenya,1.75,40.06,0,1
1/21/2020,2020,Riots,Kenya,-1.0667,34.4667,0,1
1/20/2020,2020,Riots,Kenya,-1.283,36.817,0,1
1/17/2020,2020,Protests,Kenya,-1.1167,36.35,0,1
1/17/2020,2020,Protests,Kenya,-1.283,36.817,0,1
1/16/2020,2020,Protests,Kenya,-1.283,36.817,0,1
1/16/2020,2020,Protests,Kenya,-0.9333,36.5723,0,1
1/15/2020,2020,Protests,Kenya,-0.4989,37.2803,0,1
1/14/2020,2020,Riots,Kenya,-0.8448,34.4913,0,1
1/13/2020,2020,Riots,Kenya,-1.283,36.817,0,1
1/13/2020,2020,Violence against civilians,Kenya,-0.7017,39.8721,3,1
1/12/2020,2020,Protests,Kenya,-1.283,36.817,0,1
1/12/2020,2020,Riots,Kenya,0.06,34.2861,1,1
1/10/2020,2020,Protests,Kenya,-1.2839,36.7977,0,1
1/9/2020,2020,Protests,Kenya,-0.4817,37.1251,0,1
1/8/2020,2020,Protests,Kenya,-1.283,36.817,0,1
1/6/2020,2020,Protests,Kenya,-1.0964,34.4542,0,1
1/6/2020,2020,Riots,Kenya,-0.9333,38.0667,1,1
1/6/2020,2020,Protests,Kenya,-0.6868,35.3801,0,1
1/6/2020,2020,Riots,Kenya,-1.7808,37.6288,0,1
1/6/2020,2020,Riots,Kenya,-1.2259,38.19,1,1
1/5/2020,2020,Violence against civilians,Kenya,3.3711,41.4468,0,1
1/3/2020,2020,Strategic developments,Kenya,-1.05,37.0833,0,1
1/2/2020,2020,Protests,Kenya,-0.1,34.75,0,1
1/2/2020,2020,Protests,Kenya,-1.4167,37.3333,0,1
1/2/2020,2020,Violence against civilians,Kenya,-2.3287,40.3231,3,1
1/2/2020,2020,Protests,Kenya,-4.0525,39.6954,0,1
1/1/2020,2020,Protests,Kenya,-0.7667,34.6,0,1
1/1/2020,2020,Protests,Kenya,-0.7333,34.3667,0,1
12/31/2019,2019,Violence against civilians,Kenya,-3.3543,40.0209,1,1
12/31/2019,2019,Violence against civilians,Kenya,1.7833,36.7833,2,1
12/29/2019,2019,Violence against civilians,Kenya,-1.169,34.889,1,1
12/29/2019,2019,Riots,Kenya,-0.5672,37.3247,0,1
12/29/2019,2019,Riots,Kenya,-0.5,34.75,0,1
12/28/2019,2019,Violence against civilians,Kenya,-2.2783,40.9033,0,1
12/27/2019,2019,Explosions/Remote violence,Kenya,1.75,40.06,2,1
12/27/2019,2019,Riots,Kenya,-1.15,36.9667,0,1
12/26/2019,2019,Violence against civilians,Kenya,1.75,40.06,0,1
12/25/2019,2019,Violence against civilians,Kenya,-1.2716,36.8402,2,1
12/25/2019,2019,Riots,Kenya,-1.4761,36.9614,1,1
12/24/2019,2019,Protests,Kenya,-0.787,35.3002,0,1
12/23/2019,2019,Violence against civilians,Kenya,-3.5581,38.7491,1,1
12/23/2019,2019,Explosions/Remote violence,Kenya,2.1291,40.929,0,1
12/23/2019,2019,Protests,Kenya,-0.9838,36.5899,0,1
12/22/2019,2019,Strategic developments,Kenya,3.865,41.7887,0,1
12/20/2019,2019,Protests,Kenya,0.2039,35.105,0,1
12/17/2019,2019,Protests,Kenya,-1.5167,37.2667,0,1
12/17/2019,2019,Violence against civilians,Kenya,-0.5333,37.45,0,1
12/17/2019,2019,Riots,Kenya,-1.2513,36.8896,1,1
12/17/2019,2019,Protests,Kenya,-1.3667,38.0167,0,1
12/16/2019,2019,Riots,Kenya,0.2781,37.9381,1,1
12/16/2019,2019,Protests,Kenya,-4.0338,39.6515,0,1
12/16/2019,2019,Violence against civilians,Kenya,-0.4536,39.6461,9,1
12/15/2019,2019,Protests,Kenya,-0.0142,37.6303,0,1
12/14/2019,2019,Riots,Kenya,-4.0839,39.6616,1,1
12/14/2019,2019,Riots,Kenya,0.7528,35.504,0,1
12/13/2019,2019,Protests,Kenya,-0.9838,36.5899,0,1
12/11/2019,2019,Violence against civilians,Kenya,-2.0774,41.134,2,1
12/6/2019,2019,Violence against civilians,Kenya,2.4094,40.5948,11,1
12/4/2019,2019,Protests,Kenya,-4.05,39.6667,0,1
12/4/2019,2019,Protests,Kenya,0.0802,34.7237,0,1
12/3/2019,2019,Riots,Kenya,-1.283,36.817,2,1
12/3/2019,2019,Violence against civilians,Kenya,1.1692,36.0955,3,1
12/2/2019,2019,Riots,Kenya,-4.0839,39.6616,1,1
12/1/2019,2019,Violence against civilians,Kenya,-1.7027,41.3019,0,1
12/1/2019,2019,Riots,Kenya,-1.7027,41.3019,0,1
11/29/2019,2019,Violence against civilians,Kenya,-1.2841,37.0974,0,1
11/28/2019,2019,Violence against civilians,Kenya,1.2972,35.9336,1,1
11/26/2019,2019,Riots,Kenya,-1.153,36.8035,1,1
11/26/2019,2019,Riots,Kenya,-1.1303,36.8136,1,1
11/25/2019,2019,Violence against civilians,Kenya,-0.2888,39.6834,1,1
11/24/2019,2019,Violence against civilians,Kenya,-1.7808,37.6288,4,1
11/24/2019,2019,Violence against civilians,Kenya,-4.0333,39.6833,0,1
11/24/2019,2019,Violence against civilians,Kenya,-4.0525,39.6954,0,1
11/23/2019,2019,Protests,Kenya,0.0315,37.6917,0,1
11/21/2019,2019,Protests,Kenya,3.1191,35.5973,0,1
11/20/2019,2019,Violence against civilians,Kenya,-4.0839,39.6616,1,1
11/16/2019,2019,Protests,Kenya,-0.5753,37.3269,0,1
11/15/2019,2019,Riots,Kenya,0.3036,34.2014,6,1
11/13/2019,2019,Protests,Kenya,-1.283,36.817,0,1
11/13/2019,2019,Protests,Kenya,-3.3961,38.5561,0,1
11/12/2019,2019,Protests,Kenya,-1.1833,37.1167,0,1
11/11/2019,2019,Protests,Kenya,-1.1833,37.1167,0,1
11/10/2019,2019,Riots,Kenya,0.3899,34.7568,0,1
11/7/2019,2019,Riots,Kenya,-1.3117,36.7891,0,1
11/7/2019,2019,Riots,Kenya,-1.3117,36.7891,0,1
11/5/2019,2019,Riots,Kenya,-0.509,37.5202,0,1
11/5/2019,2019,Violence against civilians,Kenya,4.1935,37.0775,3,1
11/5/2019,2019,Protests,Kenya,-1.2839,36.7977,0,1
11/5/2019,2019,Violence against civilians,Kenya,1.4504,35.8825,2,1
11/3/2019,2019,Protests,Kenya,-0.4167,36.95,0,1
11/1/2019,2019,Protests,Kenya,-4.0634,39.5647,0,1
10/31/2019,2019,Riots,Kenya,-0.509,37.5202,1,1
10/30/2019,2019,Protests,Kenya,-0.6,36.5833,0,1
10/30/2019,2019,Protests,Kenya,-0.5333,37.45,0,1
10/29/2019,2019,Violence against civilians,Kenya,1.7833,36.7833,1,1
10/29/2019,2019,Violence against civilians,Kenya,0.5367,40.8771,0,1
10/28/2019,2019,Protests,Kenya,-4.2857,39.5639,0,1
10/28/2019,2019,Protests,Kenya,-1.2462,36.6629,0,1
10/27/2019,2019,Riots,Kenya,-1.283,36.817,0,1
10/24/2019,2019,Violence against civilians,Kenya,-0.5273,34.4571,1,1
10/23/2019,2019,Protests,Kenya,-0.2709,36.3792,0,1
10/23/2019,2019,Violence against civilians,Kenya,3.9357,41.8542,0,1
10/22/2019,2019,Protests,Kenya,-4.05,39.6667,0,1
10/22/2019,2019,Protests,Kenya,0.2833,34.75,0,1
10/22/2019,2019,Protests,Kenya,0.5167,35.2833,0,1
10/22/2019,2019,Protests,Kenya,1.0573,34.5598,0,1
10/20/2019,2019,Violence against civilians,Kenya,0.052,35.731,0,1
10/19/2019,2019,Strategic developments,Kenya,-1.2795,36.8353,0,1
10/17/2019,2019,Protests,Kenya,-0.6833,34.7667,0,1
10/16/2019,2019,Protests,Kenya,-1.8488,37.6684,0,1
10/16/2019,2019,Protests,Kenya,0.7101,35.1118,0,1
10/15/2019,2019,Violence against civilians,Kenya,0.5333,38.52,3,1
10/14/2019,2019,Protests,Kenya,0.4919,35.743,0,1
10/13/2019,2019,Violence against civilians,Kenya,0.2672,37.772,1,1
10/12/2019,2019,Explosions/Remote violence,Kenya,-0.46,39.66,10,1
10/9/2019,2019,Violence against civilians,Kenya,-0.5833,37.6333,0,1
10/9/2019,2019,Protests,Kenya,-1.283,36.817,0,1
10/9/2019,2019,Protests,Kenya,-1.283,36.817,0,1
10/8/2019,2019,Protests,Kenya,-1.283,36.817,0,1
10/8/2019,2019,Protests,Kenya,-1.3229,36.6868,0,1
10/7/2019,2019,Protests,Kenya,-4.05,39.6667,0,1
10/7/2019,2019,Violence against civilians,Kenya,-0.5333,37.45,1,1
10/7/2019,2019,Riots,Kenya,0.0684,34.7975,1,1
10/7/2019,2019,Protests,Kenya,-1.283,36.817,0,1
10/1/2019,2019,Protests,Kenya,0.5167,35.2833,0,1
10/1/2019,2019,Violence against civilians,Kenya,3.9439,40.3445,7,1
10/1/2019,2019,Protests,Kenya,-4.05,39.6667,0,1
9/27/2019,2019,Protests,Kenya,-1.3117,36.7891,0,1
9/25/2019,2019,Violence against civilians,Kenya,-0.4536,39.6461,2,1
9/25/2019,2019,Protests,Kenya,-4.1738,39.4521,0,1
9/24/2019,2019,Protests,Kenya,-0.9333,36.9667,0,1
9/23/2019,2019,Protests,Kenya,-4.05,39.6667,0,1
9/23/2019,2019,Protests,Kenya,-0.7202,36.4285,0,1
9/23/2019,2019,Protests,Kenya,0.1357,37.7956,0,1
9/23/2019,2019,Violence against civilians,Kenya,1.7833,36.7833,4,1
9/21/2019,2019,Violence against civilians,Kenya,-1.15,41.0667,1,1
9/20/2019,2019,Violence against civilians,Kenya,0.15,37.7833,1,1
9/18/2019,2019,Protests,Kenya,0.2833,34.75,0,1
9/18/2019,2019,Protests,Kenya,-4.05,39.6667,0,1
9/17/2019,2019,Violence against civilians,Kenya,0.3546,37.5822,4,1
9/16/2019,2019,Violence against civilians,Kenya,-3.3961,38.5561,2,1
9/15/2019,2019,Violence against civilians,Kenya,-1.169,34.889,0,1
9/13/2019,2019,Violence against civilians,Kenya,-4.05,39.6667,0,1
9/12/2019,2019,Protests,Kenya,-1.8666,37.7333,0,1
9/12/2019,2019,Violence against civilians,Kenya,-1.8666,37.7333,0,1
9/12/2019,2019,Violence against civilians,Kenya,-2.05,40.1667,4,1
9/12/2019,2019,Protests,Kenya,-0.8167,36.9833,0,1
9/12/2019,2019,Protests,Kenya,-0.9838,36.5899,0,1
9/10/2019,2019,Violence against civilians,Kenya,-1.7951,38.4278,0,1
9/10/2019,2019,Violence against civilians,Kenya,-1.3667,38.0167,1,1
9/10/2019,2019,Protests,Kenya,-1.05,36.9,0,1
9/9/2019,2019,Protests,Kenya,-1.3667,38.0167,0,1
9/9/2019,2019,Protests,Kenya,-1.283,36.817,0,1
9/9/2019,2019,Protests,Kenya,-0.7166,37.15,0,1
9/9/2019,2019,Violence against civilians,Kenya,-0.5333,37.6167,1,1
9/9/2019,2019,Protests,Kenya,-0.5333,37.6167,0,1
9/9/2019,2019,Protests,Kenya,-1.9,36.2833,0,1
9/8/2019,2019,Violence against civilians,Kenya,-1.1667,37.9333,1,1
9/8/2019,2019,Violence against civilians,Kenya,-1.35,38.55,1,1
9/6/2019,2019,Protests,Kenya,-1.1,36.65,0,1
9/3/2019,2019,Protests,Kenya,-1.45,36.9833,0,1
9/2/2019,2019,Strategic developments,Kenya,-1.0783,35.8601,0,1
9/1/2019,2019,Strategic developments,Kenya,-0.1364,40.2944,0,1
8/25/2019,2019,Violence against civilians,Kenya,3.5,37.7833,5,1
8/25/2019,2019,Violence against civilians,Kenya,3,37.5,5,1
8/25/2019,2019,Violence against civilians,Kenya,-0.95,37.1,1,1
8/22/2019,2019,Protests,Kenya,-4.05,39.6667,0,1
8/22/2019,2019,Protests,Kenya,-4.05,39.6667,0,1
8/18/2019,2019,Protests,Kenya,-1.6,35.6333,0,1
8/18/2019,2019,Violence against civilians,Kenya,-1.2437,34.5957,0,1
8/16/2019,2019,Protests,Kenya,-0.0559,36.5289,0,1
8/16/2019,2019,Protests,Kenya,-0.0559,36.5289,0,1
8/15/2019,2019,Protests,Kenya,-1.2695,36.7436,0,1
8/15/2019,2019,Violence against civilians,Kenya,-0.6,36,0,1
8/14/2019,2019,Strategic developments,Kenya,0.5167,35.2833,0,1
8/8/2019,2019,Protests,Kenya,-0.3677,35.2831,0,1
8/7/2019,2019,Protests,Kenya,-0.4167,36.95,0,1
8/7/2019,2019,Protests,Kenya,-0.9157,37.0237,0,1
8/6/2019,2019,Protests,Kenya,-0.55,36.6167,0,1
8/4/2019,2019,Strategic developments,Kenya,-1.741,41.492,0,1
8/4/2019,2019,Protests,Kenya,3.1012,35.6015,0,1
7/29/2019,2019,Riots,Kenya,-1.1,36.65,0,1
7/29/2019,2019,Protests,Kenya,-0.1,34.75,0,1
